path,type,bytes_uncompressed,bytes_compressed,modified_local,encrypted,crc32_hex,sha256
2025-9-19/14-57-12-Filtrar_correos_Malpaso.md,file,81246,16482,2025-09-29T13:52:38,False,d3c17912,89f96f1eb112de369f7d3f227e485b6f600b113c870ff1f1828c603ec1d83fcb
2025-9-20/,dir,0,0,2025-09-29T13:52:26,False,00000000,
2025-9-20/0-47-50-Instrucciones_personalizadas_y_memoria.json,file,155783,29609,2025-09-29T13:52:38,False,62d3442b,338508312492d1e169019921096affb22b7a8a48bc7197c5a428201e28d8de9e
2025-9-20/0-47-50-Instrucciones_personalizadas_y_memoria.md,file,15243,5845,2025-09-29T13:52:38,False,8c32fadc,ff9b76e7cd5e11dc679a48a5587a602fa6852bc51d88378284e1390cc127a089
2025-9-20/1-8-47-Instrucciones_guardadas_sistema.json,file,743866,93912,2025-09-29T13:52:38,False,7f1fada5,84df38cf8bfb29a3a6eb916508bdcb3380609c1d3dcd97f3eab7b2ad2f88038e
2025-9-20/1-8-47-Instrucciones_guardadas_sistema.md,file,67665,20024,2025-09-29T13:52:38,False,21ec09e8,c026d7e55ea11eef32f5a4d182a6f51e463144550ea2cc9d45750742a390107d
2025-9-20/13-0-2-Revisi_n_de_memoria_persistente.json,file,1362775,261899,2025-09-29T13:52:28,False,3c98abe4,499c7f5301c3c5b674f1a9e22882f6a73f28b69d84c8a97666cb25c577278977
2025-9-20/13-0-2-Revisi_n_de_memoria_persistente.md,file,467884,111761,2025-09-29T13:52:28,False,3d27ca89,66ca012d1575e56d45e4500e980c494f1beddd8ea272819ea16b0145de692dd3
2025-9-20/13-9-57-Cargar_informaci_n_contextual.json,file,315474,58950,2025-09-29T13:52:28,False,ffc540e2,3336fabac679ab9a519dd55dae6ab01d69207ccebf3d4572195a65cfaa287421
2025-9-20/13-9-57-Cargar_informaci_n_contextual.md,file,103257,28444,2025-09-29T13:52:28,False,2efd575d,cd8cc10dd29399df26dabb5a872dcbf7815e1dbe811ab70920728a33cc5f754c
2025-9-20/15-45-5-Extraer__cono__exe.json,file,85274,14985,2025-09-29T13:52:28,False,1f26b00c,5302e44af5c9dac3db701c6ffbf75d7fd5a5a5fe4235321ec4ac6e291d6dcc58
2025-9-20/15-45-5-Extraer__cono__exe.md,file,18246,6641,2025-09-29T13:52:28,False,efa49d70,ff23e9ed30f1631748598ebab483286e74985abfbac566ac6f457c9d7f7e2826
2025-9-20/17-36-26-Archivos_id_nticos_o_diferentes.json,file,66277,12058,2025-09-29T13:52:26,False,6697d5b7,801eeedc156751fd7aa62ad076563595f0f36563e0e1596d536cbc65590f2c16
2025-9-20/17-36-26-Archivos_id_nticos_o_diferentes.md,file,14301,5198,2025-09-29T13:52:26,False,0d541721,0a78a4e3a22a043a4864c35b2237e3462e60f6fa44e84ca611b802142ff744f5
2025-9-20/2-57-37-Normativa_operativa_guardada.json,file,190486,28114,2025-09-29T13:52:32,False,e9992dec,6750d89016dd1000d7cc511891232feba5b3b14e7256ce553580cb73cd42b9f3
2025-9-20/2-57-37-Normativa_operativa_guardada.md,file,55321,15933,2025-09-29T13:52:32,False,c2d3908e,9408ca1c0b1a8b6c810435759440c32f2b33bef85f606ea63070bae05033a507
2025-9-20/3-32-16-Generar_script_HTML_desde__md.json,file,966432,143865,2025-09-29T13:52:34,False,edd83f01,a654aad1106de6eaf69d52776d7b58b94163609aa9ec188a28eec2c4c515d09a
2025-9-20/3-32-16-Generar_script_HTML_desde__md.md,file,241476,41635,2025-09-29T13:52:34,False,5ed56900,d13892ef1e49e1dfcc4a24df6d6509d08112ba6dc3232946adde7a7557dd1989
2025-9-20/5-6-18-Script_PowerShell_animado.json,file,197086,32700,2025-09-29T13:52:34,False,df33d509,1bcfcac351b3da2a97ad2b6643e9e411c5eeefd410a0c92e8d34b0b2c61b13bd
2025-9-20/5-6-18-Script_PowerShell_animado.md,file,57091,15584,2025-09-29T13:52:34,False,c0d39e7f,f6279941acb6e5622254817a2efa7122522f964d59346d5ca2e4c79570cf9ce1
2025-9-20/6-4-22-Integraci_n_normativa_operativa.json,file,31615,8390,2025-09-29T13:52:32,False,e1758afd,b14920d77250b87e40a14809f87517f16b5d5f6b23503a1b46ebd71493071b40
2025-9-20/6-4-22-Integraci_n_normativa_operativa.md,file,21044,5987,2025-09-29T13:52:32,False,893db26f,f20885d103fc9ab4f08f036a9bc77e312b2944a073f7943797a2c2e9407107f8
2025-9-20/6-43-13-Interpretaci_n_de_documento.json,file,936781,159734,2025-09-29T13:52:32,False,13685eab,2a34ee550de000e4886c2ca64d541415f95502c433242218d7d5594e6ff01db5
